Name,Price,Discount,Quantity Sold
Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,13990000,36,1000
Điện thoại Vivo Y12s - Hàng Chính Hãng,2930000,32,1000
Điện Thoại Samsung Galaxy M11 (3GB/32GB) - Hàng Chính Hãng,2590000,30,1000
Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng,2220000,33,1000
Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,28250000,17,1000
Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,18750000,25,591
Điện Thoại Samsung Galaxy M12 (4GB/64GB) - Hàng Chính Hãng,3250000,16,1000
Điện Thoại Samsung Galaxy Note 10 (8GB/256GB) - Hàng Chính Hãng,11990000,48,1000
Điện thoại Xiaomi POCO X3 PRO - Hàng Chính Hãng,5490000,21,128
Điện thoại Vivo Y1S - Hàng chính hãng,2190000,19,None
Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,25790000,17,554
Điện Thoại Oppo A73 2020 (6GB/128GB) - Hàng Chính Hãng,4450000,19,1000
Điện Thoại Samsung Galaxy A10s (2GB/32GB) - Hàng Chính Hãng,2350000,36,1000
Điện Thoại Oppo A15 (3GB/32G) - Hàng Chính Hãng,3140000,10,11
Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng,5290000,29,1000
Điện Thoại Vsmart Star 5 (3GB/32GB) - Hàng Chính Hãng,1999000,26,40
Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,19990000,26,725
Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,31250000,18,1000
Điện thoại Samsung Galaxy A32-Hàng Chính Hãng,5649000,16,28
Điện Thoại Xiaomi Redmi Note 10 (6GB/128GB) - Hàng Chính Hãng,4689000,15,1
Điện Thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng Chính Hãng,4090000,13,26
Điện Thoại Vivo Y3s (2GB/32GB) - Hàng Chính Hãng,2300000,23,784
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1875000,6,9
Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hàng Chính Hãng,2850000,18,1000
Điện Thoại Nokia 3.4 - Hàng Chính Hãng,2590000,30,769
Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng,15490000,30,202
Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng,4890000,25,1000
Điện Thoại Xiaomi Redmi Note 10S (8GB-128GB) - Hàng Chính Hãng,5250000,19,159
Điện Thoại iPhone XR 64GB - Hàng Chính Hãng VN/A,12990000,28,None
Điện Thoại Vsmart Star 5 (4GB/64GB) - Hàng Chính Hãng,2220000,33,459
Điện Thoại Nokia 5.4 (4GB/128GB) - Hàng Chính Hãng,3290000,34,11
Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,2149000,20,1000
Điện Thoại Samsung Galaxy Note 20 Ultra (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,17319000,42,27
Tecno Pova 2 4GB l 64GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,3890000,3,2
Điện Thoại Samsung Galaxy A31 (128GB/6GB) - Hàng Chính Hãng,4990000,23,375
